Statement Number,Speaker,Number of non-stop words,Number of positive words,Number of negative words,Number of Lancaster stemmed positive words,Number of Lancaster stemmed negative words,Number of Porter stemmed positive words,Number of Porter stemmed negative words,Number of Snowball stemmed positive words,Number of Snowball stemmed negative words
0,LEHRER,161,14,3,47,39,28,28,28,12
1,OBAMA,184,16,10,53,38,33,17,34,17
2,LEHRER,5,0,0,0,0,0,0,0,0
3,ROMNEY,191,25,12,67,48,34,20,34,20
4,LEHRER,12,1,3,3,3,2,3,2,3
5,OBAMA,204,14,8,51,47,31,16,32,17
6,LEHRER,21,1,0,5,5,2,2,2,2
7,ROMNEY,296,20,10,94,70,40,30,43,31
8,OBAMA,104,9,6,35,26,16,15,16,16
9,LEHRER,2,1,0,2,0,1,0,1,0
10,OBAMA,79,8,3,34,18,15,7,15,7
11,LEHRER,10,4,0,5,4,4,2,4,2
12,ROMNEY,9,2,1,2,2,2,2,2,2
13,LEHRER,2,1,0,2,0,1,0,1,0
14,ROMNEY,173,16,4,66,58,23,19,23,19
15,LEHRER,7,1,1,1,1,1,1,1,1
16,OBAMA,202,14,4,56,51,32,27,32,27
17,LEHRER,2,1,0,2,0,1,0,1,0
18,ROMNEY,6,1,0,2,3,2,0,2,0
19,LEHRER,2,2,0,2,0,2,0,2,0
20,ROMNEY,4,0,0,0,1,0,1,0,1
21,LEHRER,9,1,2,5,2,4,2,4,2
22,ROMNEY,2,1,0,1,0,1,0,1,0
23,LEHRER,22,2,3,9,7,4,4,4,4
24,ROMNEY,147,11,2,42,53,15,26,15,28
25,OBAMA,138,16,5,54,34,22,14,22,14
26,ROMNEY,9,0,0,1,1,0,0,0,0
27,LEHRER,8,1,0,1,1,1,0,1,0
28,ROMNEY,130,8,4,41,34,11,9,11,9
29,LEHRER,37,1,1,6,10,1,3,1,3
